Ticket_ID,System,Document,Severity,RCA_Category,Manual_Remediation,Timestamp,Business_Impact
INC-10000,Identity Access,Data sync failure between Identity Access and Middleware. Urgent help needed.,High,Sync Agent,Flush sync buffer,2026-02-12 15:00:00,1
INC-10001,Identity Access,Access denied for user in Identity Access. Reported by monitoring.,Medium,Permissions,Update IAM policy for Identity Access,2026-01-07 06:00:00,3
INC-10002,SAP ERP,Memory limit exceeded in SAP ERP. Intermittent issue.,Critical,Resource,Scale up SAP ERP instance,2026-03-20 18:00:00,5
INC-10003,Identity Access,Data sync failure between Identity Access and Middleware. Intermittent issue.,High,Sync Agent,Flush sync buffer,2026-02-19 01:00:00,4
INC-10004,Oracle DB,Connection timeout in Oracle DB. Intermittent issue.,High,Network/DB,Restart Oracle DB services,2026-01-27 11:00:00,1
INC-10005,Oracle DB,Memory limit exceeded in Oracle DB. Error code 504.,Critical,Resource,Scale up Oracle DB instance,2026-03-20 06:00:00,5
INC-10006,Identity Access,Connection timeout in Identity Access. Reported by monitoring.,High,Network/DB,Restart Identity Access services,2026-01-29 05:00:00,4
INC-10007,Cloud Infrastructure,Memory limit exceeded in Cloud Infrastructure. Reported by monitoring.,Critical,Resource,Scale up Cloud Infrastructure instance,2026-02-12 14:00:00,1
INC-10008,Oracle DB,Connection timeout in Oracle DB. Reported by monitoring.,High,Network/DB,Restart Oracle DB services,2026-01-18 19:00:00,5
INC-10009,Identity Access,Latency spike in Identity Access API. Reported by monitoring.,Low,Performance,Clear cache and monitor,2026-02-04 06:00:00,1
INC-10010,Oracle DB,Memory limit exceeded in Oracle DB. Error code 504.,Critical,Resource,Scale up Oracle DB instance,2026-01-23 17:00:00,3
INC-10011,Identity Access,Latency spike in Identity Access API. Error code 504.,Low,Performance,Clear cache and monitor,2026-01-01 09:00:00,4
INC-10012,Identity Access,Connection timeout in Identity Access. Intermittent issue.,High,Network/DB,Restart Identity Access services,2026-02-13 07:00:00,1
INC-10013,Oracle DB,Latency spike in Oracle DB API. Reported by monitoring.,Low,Performance,Clear cache and monitor,2026-03-03 17:00:00,2
INC-10014,Oracle DB,Latency spike in Oracle DB API. Urgent help needed.,Low,Performance,Clear cache and monitor,2026-01-28 19:00:00,3
INC-10015,Cloud Infrastructure,Access denied for user in Cloud Infrastructure. Urgent help needed.,Medium,Permissions,Update IAM policy for Cloud Infrastructure,2026-01-11 03:00:00,4
INC-10016,SAP ERP,Latency spike in SAP ERP API. Reported by monitoring.,Low,Performance,Clear cache and monitor,2026-03-11 05:00:00,1
INC-10017,Middleware,Data sync failure between Middleware and Middleware. Reported by monitoring.,High,Sync Agent,Flush sync buffer,2026-03-07 00:00:00,4
INC-10018,Middleware,Data sync failure between Middleware and Middleware. Reported by monitoring.,High,Sync Agent,Flush sync buffer,2026-01-05 10:00:00,4
INC-10019,Middleware,Connection timeout in Middleware. Reported by monitoring.,High,Network/DB,Restart Middleware services,2026-01-03 11:00:00,5
INC-10020,Middleware,Latency spike in Middleware API. Urgent help needed.,Low,Performance,Clear cache and monitor,2026-03-19 13:00:00,4
INC-10021,Cloud Infrastructure,Data sync failure between Cloud Infrastructure and Middleware. Urgent help needed.,High,Sync Agent,Flush sync buffer,2026-01-29 18:00:00,3
INC-10022,SAP ERP,Memory limit exceeded in SAP ERP. Intermittent issue.,Critical,Resource,Scale up SAP ERP instance,2026-02-10 04:00:00,1
INC-10023,Oracle DB,Data sync failure between Oracle DB and Middleware. Urgent help needed.,High,Sync Agent,Flush sync buffer,2026-03-15 06:00:00,1
INC-10024,SAP ERP,Connection timeout in SAP ERP. Urgent help needed.,High,Network/DB,Restart SAP ERP services,2026-01-23 15:00:00,5
INC-10025,Oracle DB,Memory limit exceeded in Oracle DB. Intermittent issue.,Critical,Resource,Scale up Oracle DB instance,2026-03-15 03:00:00,5
INC-10026,Middleware,Data sync failure between Middleware and Middleware. Error code 504.,High,Sync Agent,Flush sync buffer,2026-01-03 11:00:00,1
INC-10027,SAP ERP,Memory limit exceeded in SAP ERP. Intermittent issue.,Critical,Resource,Scale up SAP ERP instance,2026-03-21 23:00:00,1
INC-10028,Cloud Infrastructure,Data sync failure between Cloud Infrastructure and Middleware. Reported by monitoring.,High,Sync Agent,Flush sync buffer,2026-01-11 10:00:00,2
INC-10029,Identity Access,Connection timeout in Identity Access. Error code 504.,High,Network/DB,Restart Identity Access services,2026-02-22 10:00:00,2
INC-10030,Oracle DB,Memory limit exceeded in Oracle DB. Error code 504.,Critical,Resource,Scale up Oracle DB instance,2026-02-27 00:00:00,5
INC-10031,Identity Access,Data sync failure between Identity Access and Middleware. Error code 504.,High,Sync Agent,Flush sync buffer,2026-03-29 18:00:00,5
INC-10032,Cloud Infrastructure,Data sync failure between Cloud Infrastructure and Middleware. Urgent help needed.,High,Sync Agent,Flush sync buffer,2026-03-02 04:00:00,1
INC-10033,Oracle DB,Access denied for user in Oracle DB. Urgent help needed.,Medium,Permissions,Update IAM policy for Oracle DB,2026-02-04 10:00:00,3
INC-10034,Oracle DB,Latency spike in Oracle DB API. Error code 504.,Low,Performance,Clear cache and monitor,2026-02-03 08:00:00,4
INC-10035,Oracle DB,Access denied for user in Oracle DB. Urgent help needed.,Medium,Permissions,Update IAM policy for Oracle DB,2026-03-11 02:00:00,5
INC-10036,SAP ERP,Memory limit exceeded in SAP ERP. Intermittent issue.,Critical,Resource,Scale up SAP ERP instance,2026-02-18 22:00:00,3
INC-10037,Oracle DB,Access denied for user in Oracle DB. Intermittent issue.,Medium,Permissions,Update IAM policy for Oracle DB,2026-03-11 08:00:00,2
INC-10038,Oracle DB,Connection timeout in Oracle DB. Error code 504.,High,Network/DB,Restart Oracle DB services,2026-03-06 03:00:00,4
INC-10039,Middleware,Memory limit exceeded in Middleware. Intermittent issue.,Critical,Resource,Scale up Middleware instance,2026-03-19 17:00:00,5
INC-10040,SAP ERP,Data sync failure between SAP ERP and Middleware. Urgent help needed.,High,Sync Agent,Flush sync buffer,2026-02-01 09:00:00,4
INC-10041,Middleware,Latency spike in Middleware API. Error code 504.,Low,Performance,Clear cache and monitor,2026-01-15 06:00:00,1
INC-10042,Identity Access,Data sync failure between Identity Access and Middleware. Urgent help needed.,High,Sync Agent,Flush sync buffer,2026-03-16 04:00:00,4
INC-10043,Middleware,Access denied for user in Middleware. Intermittent issue.,Medium,Permissions,Update IAM policy for Middleware,2026-02-27 14:00:00,1
INC-10044,Middleware,Access denied for user in Middleware. Reported by monitoring.,Medium,Permissions,Update IAM policy for Middleware,2026-02-11 16:00:00,4
INC-10045,Middleware,Access denied for user in Middleware. Error code 504.,Medium,Permissions,Update IAM policy for Middleware,2026-02-28 06:00:00,4
INC-10046,Cloud Infrastructure,Memory limit exceeded in Cloud Infrastructure. Intermittent issue.,Critical,Resource,Scale up Cloud Infrastructure instance,2026-03-18 12:00:00,2
INC-10047,Cloud Infrastructure,Data sync failure between Cloud Infrastructure and Middleware. Intermittent issue.,High,Sync Agent,Flush sync buffer,2026-02-07 00:00:00,1
INC-10048,Middleware,Access denied for user in Middleware. Intermittent issue.,Medium,Permissions,Update IAM policy for Middleware,2026-01-15 10:00:00,1
INC-10049,SAP ERP,Connection timeout in SAP ERP. Reported by monitoring.,High,Network/DB,Restart SAP ERP services,2026-03-30 18:00:00,5
INC-10050,Identity Access,Connection timeout in Identity Access. Urgent help needed.,High,Network/DB,Restart Identity Access services,2026-03-19 21:00:00,5
INC-10051,Oracle DB,Connection timeout in Oracle DB. Error code 504.,High,Network/DB,Restart Oracle DB services,2026-03-20 13:00:00,4
INC-10052,Oracle DB,Connection timeout in Oracle DB. Urgent help needed.,High,Network/DB,Restart Oracle DB services,2026-02-11 04:00:00,2
INC-10053,Oracle DB,Data sync failure between Oracle DB and Middleware. Urgent help needed.,High,Sync Agent,Flush sync buffer,2026-03-10 19:00:00,4
INC-10054,Middleware,Access denied for user in Middleware. Error code 504.,Medium,Permissions,Update IAM policy for Middleware,2026-02-05 18:00:00,1
INC-10055,SAP ERP,Connection timeout in SAP ERP. Urgent help needed.,High,Network/DB,Restart SAP ERP services,2026-03-17 14:00:00,1
INC-10056,SAP ERP,Memory limit exceeded in SAP ERP. Reported by monitoring.,Critical,Resource,Scale up SAP ERP instance,2026-01-16 12:00:00,4
INC-10057,Cloud Infrastructure,Access denied for user in Cloud Infrastructure. Intermittent issue.,Medium,Permissions,Update IAM policy for Cloud Infrastructure,2026-01-17 12:00:00,1
INC-10058,Middleware,Access denied for user in Middleware. Intermittent issue.,Medium,Permissions,Update IAM policy for Middleware,2026-03-04 09:00:00,2
INC-10059,Identity Access,Data sync failure between Identity Access and Middleware. Reported by monitoring.,High,Sync Agent,Flush sync buffer,2026-02-13 14:00:00,4
INC-10060,Oracle DB,Connection timeout in Oracle DB. Intermittent issue.,High,Network/DB,Restart Oracle DB services,2026-02-17 13:00:00,3
INC-10061,Identity Access,Access denied for user in Identity Access. Reported by monitoring.,Medium,Permissions,Update IAM policy for Identity Access,2026-03-16 10:00:00,2
INC-10062,SAP ERP,Data sync failure between SAP ERP and Middleware. Urgent help needed.,High,Sync Agent,Flush sync buffer,2026-02-20 05:00:00,4
INC-10063,Identity Access,Latency spike in Identity Access API. Reported by monitoring.,Low,Performance,Clear cache and monitor,2026-03-28 20:00:00,4
INC-10064,Oracle DB,Latency spike in Oracle DB API. Reported by monitoring.,Low,Performance,Clear cache and monitor,2026-03-14 18:00:00,2
INC-10065,SAP ERP,Latency spike in SAP ERP API. Urgent help needed.,Low,Performance,Clear cache and monitor,2026-01-24 17:00:00,3
INC-10066,Oracle DB,Access denied for user in Oracle DB. Reported by monitoring.,Medium,Permissions,Update IAM policy for Oracle DB,2026-03-29 20:00:00,4
INC-10067,Middleware,Connection timeout in Middleware. Error code 504.,High,Network/DB,Restart Middleware services,2026-01-17 05:00:00,2
INC-10068,SAP ERP,Access denied for user in SAP ERP. Intermittent issue.,Medium,Permissions,Update IAM policy for SAP ERP,2026-02-06 17:00:00,3
INC-10069,Middleware,Latency spike in Middleware API. Reported by monitoring.,Low,Performance,Clear cache and monitor,2026-01-22 02:00:00,3
INC-10070,Identity Access,Data sync failure between Identity Access and Middleware. Intermittent issue.,High,Sync Agent,Flush sync buffer,2026-01-06 16:00:00,3
INC-10071,Cloud Infrastructure,Connection timeout in Cloud Infrastructure. Urgent help needed.,High,Network/DB,Restart Cloud Infrastructure services,2026-03-12 17:00:00,4
INC-10072,Middleware,Connection timeout in Middleware. Error code 504.,High,Network/DB,Restart Middleware services,2026-02-18 01:00:00,4
INC-10073,Middleware,Data sync failure between Middleware and Middleware. Urgent help needed.,High,Sync Agent,Flush sync buffer,2026-02-25 02:00:00,5
INC-10074,Middleware,Latency spike in Middleware API. Error code 504.,Low,Performance,Clear cache and monitor,2026-01-16 03:00:00,3
INC-10075,Identity Access,Connection timeout in Identity Access. Error code 504.,High,Network/DB,Restart Identity Access services,2026-02-28 00:00:00,3
INC-10076,SAP ERP,Latency spike in SAP ERP API. Reported by monitoring.,Low,Performance,Clear cache and monitor,2026-03-06 03:00:00,4
INC-10077,SAP ERP,Latency spike in SAP ERP API. Urgent help needed.,Low,Performance,Clear cache and monitor,2026-02-13 01:00:00,1
INC-10078,Identity Access,Access denied for user in Identity Access. Intermittent issue.,Medium,Permissions,Update IAM policy for Identity Access,2026-03-26 09:00:00,1
INC-10079,Identity Access,Latency spike in Identity Access API. Reported by monitoring.,Low,Performance,Clear cache and monitor,2026-02-04 14:00:00,3
INC-10080,Oracle DB,Access denied for user in Oracle DB. Urgent help needed.,Medium,Permissions,Update IAM policy for Oracle DB,2026-01-16 08:00:00,2
INC-10081,Middleware,Connection timeout in Middleware. Error code 504.,High,Network/DB,Restart Middleware services,2026-02-24 23:00:00,1
INC-10082,Middleware,Data sync failure between Middleware and Middleware. Reported by monitoring.,High,Sync Agent,Flush sync buffer,2026-03-11 06:00:00,1
INC-10083,Identity Access,Data sync failure between Identity Access and Middleware. Reported by monitoring.,High,Sync Agent,Flush sync buffer,2026-02-13 19:00:00,1
INC-10084,Oracle DB,Memory limit exceeded in Oracle DB. Error code 504.,Critical,Resource,Scale up Oracle DB instance,2026-01-25 19:00:00,5
INC-10085,Identity Access,Data sync failure between Identity Access and Middleware. Intermittent issue.,High,Sync Agent,Flush sync buffer,2026-01-28 13:00:00,4
INC-10086,Cloud Infrastructure,Memory limit exceeded in Cloud Infrastructure. Error code 504.,Critical,Resource,Scale up Cloud Infrastructure instance,2026-02-17 19:00:00,3
INC-10087,Middleware,Data sync failure between Middleware and Middleware. Intermittent issue.,High,Sync Agent,Flush sync buffer,2026-02-06 01:00:00,2
INC-10088,Cloud Infrastructure,Access denied for user in Cloud Infrastructure. Error code 504.,Medium,Permissions,Update IAM policy for Cloud Infrastructure,2026-02-10 19:00:00,5
INC-10089,Cloud Infrastructure,Access denied for user in Cloud Infrastructure. Error code 504.,Medium,Permissions,Update IAM policy for Cloud Infrastructure,2026-01-22 03:00:00,4
INC-10090,SAP ERP,Data sync failure between SAP ERP and Middleware. Error code 504.,High,Sync Agent,Flush sync buffer,2026-01-20 11:00:00,5
INC-10091,Oracle DB,Latency spike in Oracle DB API. Urgent help needed.,Low,Performance,Clear cache and monitor,2026-03-10 04:00:00,4
INC-10092,SAP ERP,Access denied for user in SAP ERP. Error code 504.,Medium,Permissions,Update IAM policy for SAP ERP,2026-03-23 08:00:00,1
INC-10093,Cloud Infrastructure,Connection timeout in Cloud Infrastructure. Error code 504.,High,Network/DB,Restart Cloud Infrastructure services,2026-03-25 20:00:00,5
INC-10094,Identity Access,Access denied for user in Identity Access. Intermittent issue.,Medium,Permissions,Update IAM policy for Identity Access,2026-03-08 00:00:00,2
INC-10095,Oracle DB,Connection timeout in Oracle DB. Reported by monitoring.,High,Network/DB,Restart Oracle DB services,2026-01-29 20:00:00,2
INC-10096,Cloud Infrastructure,Latency spike in Cloud Infrastructure API. Intermittent issue.,Low,Performance,Clear cache and monitor,2026-01-05 18:00:00,2
INC-10097,SAP ERP,Latency spike in SAP ERP API. Intermittent issue.,Low,Performance,Clear cache and monitor,2026-02-27 05:00:00,2
INC-10098,Middleware,Access denied for user in Middleware. Error code 504.,Medium,Permissions,Update IAM policy for Middleware,2026-03-04 14:00:00,1
INC-10099,Middleware,Data sync failure between Middleware and Middleware. Error code 504.,High,Sync Agent,Flush sync buffer,2026-01-23 10:00:00,3
INC-10100,Cloud Infrastructure,Data sync failure between Cloud Infrastructure and Middleware. Intermittent issue.,High,Sync Agent,Flush sync buffer,2026-03-28 19:00:00,4
INC-10101,Oracle DB,Connection timeout in Oracle DB. Reported by monitoring.,High,Network/DB,Restart Oracle DB services,2026-01-21 09:00:00,1
INC-10102,Oracle DB,Latency spike in Oracle DB API. Reported by monitoring.,Low,Performance,Clear cache and monitor,2026-03-14 13:00:00,4
INC-10103,Middleware,Access denied for user in Middleware. Urgent help needed.,Medium,Permissions,Update IAM policy for Middleware,2026-03-22 06:00:00,4
INC-10104,Identity Access,Access denied for user in Identity Access. Intermittent issue.,Medium,Permissions,Update IAM policy for Identity Access,2026-03-06 21:00:00,3
INC-10105,SAP ERP,Data sync failure between SAP ERP and Middleware. Reported by monitoring.,High,Sync Agent,Flush sync buffer,2026-01-29 02:00:00,3
INC-10106,Cloud Infrastructure,Access denied for user in Cloud Infrastructure. Urgent help needed.,Medium,Permissions,Update IAM policy for Cloud Infrastructure,2026-01-19 20:00:00,3
INC-10107,Oracle DB,Latency spike in Oracle DB API. Urgent help needed.,Low,Performance,Clear cache and monitor,2026-03-13 13:00:00,2
INC-10108,Cloud Infrastructure,Latency spike in Cloud Infrastructure API. Reported by monitoring.,Low,Performance,Clear cache and monitor,2026-01-18 02:00:00,4
INC-10109,Middleware,Latency spike in Middleware API. Error code 504.,Low,Performance,Clear cache and monitor,2026-03-28 07:00:00,1
INC-10110,Cloud Infrastructure,Latency spike in Cloud Infrastructure API. Urgent help needed.,Low,Performance,Clear cache and monitor,2026-02-16 07:00:00,4
INC-10111,Oracle DB,Access denied for user in Oracle DB. Reported by monitoring.,Medium,Permissions,Update IAM policy for Oracle DB,2026-03-14 05:00:00,5
INC-10112,Cloud Infrastructure,Connection timeout in Cloud Infrastructure. Urgent help needed.,High,Network/DB,Restart Cloud Infrastructure services,2026-03-08 07:00:00,3
